Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
Zoolander 2,Zoolander 2,2016,Picture 25809,X,X,"Blue Steel. Le Tigre. Magnum… Des regards si puissants qu’ils arrêtent des shuriken en plein vol et déjouent les plans de domination mondiale les plus diaboliques. Un seul top model est capable de conjurer autant de puissance et de beauté dans une duck-face : Derek Zoolander ! Quinze ans après avoir envoyé Mugatu derrière les barreaux, Derek et son rival/meilleur ami Hansel, évincés de l’industrie de la mode suite à une terrible catastrophe, mènent des vies de reclus aux deux extrémités du globe. Mais lorsqu’un mystérieux assassin cible des popstars célèbres, les deux has-been des podiums se rendent à Rome pour reconquérir leur couronne de super mannequins et aider la belle Valentina, de la Fashion Police d’Interpol, à sauver le monde. Et la mode. "
Zoombies,Zoombies,2016,Picture 4706,D,D,"Quand un étrange virus se propage à travers un parc de safari et transforme tous les animaux du zoo en morts-vivants assoiffés de sang, les quelques humains restés dans le parc doivent s'unir pour arrêter les créatures avant qu'elles ne s'échappent et transforment le reste des animaux de la ville en zombies. "
Zootopia,Zootopia,2016,Picture 25851,X,X,"Zootopia est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! On y trouve des quartiers résidentiels élégants comme le très chic Sahara Square, et d’autres moins hospitaliers comme le glacial Tundratown. Dans cette incroyable métropole, chaque espèce animale cohabite avec les autres. Qu’on soit un immense éléphant ou une minuscule souris, tout le monde a sa place à Zootopia !
Lorsque Judy Hopps fait son entrée dans la police, elle découvre qu’il est bien difficile de s’imposer chez les gros durs en uniforme, surtout quand on est une adorable lapine. Bien décidée à faire ses preuves, Judy s’attaque à une épineuse affaire, même si cela l’oblige à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque …"
"Zu, les Guerriers de la Montagne Magique","Zu, les Guerriers de la Montagne Magique",1983,Picture 23169,O,O,"Dans les montagnes sacrées de Zu, un monstre aux pouvoirs immenses tente de renaître. De courageux chevaliers, avec l'appui d'un jeune éclaireur, ont 49 jours pour sauver le monde."
Zoulou,Zulu,1964,Picture 23302,P,P,"Janvier 1879. Le Natal, en Afrique du Sud. Des Zoulous massacrent une colonne britannique alors que le Pasteur Witt et sa fille discutent avec leur roi d'un traité de paix avec l'Angleterre. Refugiés à la mission de Rock's Drift, ils se trouvent au centre d'un combat entre une centaine de soldats et des milliers de Zoulous. "
Zulu,Zulu,2013,Picture 2738,B,B,"Dans une Afrique du Sud encore hantée par l'apartheid, deux policiers, un noir, un blanc, pourchassent le meurtrier sauvage d'une jeune adolescente. Des Townships de Capetown aux luxueuses villas du bord de mer, cette enquête va bouleverser la vie des deux hommes et les contraindre à affronter leurs démons intérieurs."
L'Ultime Attaque,Zulu Dawn,1979,Picture 25334,V,V,"En 1879, à Pietermaritzburg au Natal (Afrique du Sud), les dirigeants britanniques envisagent la conquète du Zoulouland, qu'ils estiment pourvoir aisément défaire militairement. Ayant pénétré dans le Zoulouland, la British Army se fait surpendre par la puissante tribu zoulou lors de la bataille d'Isandhlwana."
Les Légendes de la Bible avec Albert Lin,Buried Secrets of the Bible with Albert Lin,2019,Picture 4973,D,,"Au moyen de satellites et de technologies spatiales, l'explorateur plongera sous la surface de la Terre, à la recherche de secrets enfouis depuis des millénaires. Afin de percer ces mystères, il se rendra sur les lieux d'anciens cataclysmes et de cités depuis longtemps disparues."
Génie,Genius,2017,Picture 4974,D,D,"Cette série propose de revenir sur de grandes figures du passé : Albert Einstein, Pablo Picasso et Aretha Franklin pour les trois premières saisons. A travers l'évocation de leur entourage professionnel et familial, le parcours de leur vie est retracé dans toute sa complexité."
Sydney Fox l'Aventurière,Relic Hunter,1999,Picture 4975,D,D,"La ravissante professeur d'archéologie Sydney Fox fait le tour du monde à la recherche d'antiquités et de trésors perdus. Avec l'aide de son assistant Nigel et de sa Claudia, la secrétaire, elle affronte de dangereuses aventures à chaque nouveau voyage. Maîtrisant parfaitement les arts martiaux, cette version féminine de Indiana Jones ne recule devant rien. "
La Brigade des 800,The Eight Hundred,2020,Picture 4976,D,D,"1937 : Shanghaï est encerclé par l'armée japonaise.Huit cents soldats chinois se sont retranchés dans un entrepôt en plein coeur de la ville, et refusent d'abandonner la position. Commence alors le combat de leur vie, eux qui devinrent les héros d'une nation... "
La Chapelle du Diable,The Unholy,2021,Picture 4977,D,D,Un journaliste discrédité tente d'insuffler un second élan à sa carrière après avoir découvert que de nombreux miracles ont eu lieu dans une petite ville de la Nouvelle-Angleterre. Ces mystères relèvent-ils du divin ou peut-être d'une source plus sombre ? 
The Superdeep,The Superdeep,2020,Picture 4978,D,D,"1984. Cercle Arctique. Situé 12 000 mètres sous la surface de la terre, le Kola Superdeep Borehole est le plus grand laboratoire secret de l'URSS. Quelques mois après son ouverture, des scientifiques ont enregistré des cris d'origine inconnue provenant des profondeurs. Un commando spécial est envoyé pour découvrir le mystère qui se cache dans ses abîmes. Il va faire face à la plus grave des menaces pour l’humanité... "
Un Papa Hors Pair,Fatherhood,2021,Picture 4979,D,D,"Après le décès de sa femme, un nouveau père prend les rênes du métier le plus difficile au monde : celui de parent. Inspiré d'une histoire vraie."
Kenshin - La finale,Rurouni Kenshin - The Final,2021,Picture 4980,D,D,"En 1879, Kenshin se bat avec ses alliés contre son plus grand ennemi : son ancien beau-frère Enishi Yukishiro, entouré de ses sbires qui ont juré de se venger. "
Guédelon 2 - Une Aventure Médiévale,Guédelon 2 - Une Aventure Médiévale,2019,Picture 4981,D,,"En Bourgogne, depuis plus de vingt ans, des archéologues et des artisans bâtissent le château fort de Guédelon selon les techniques et les matériaux du Moyen Âge. Ce documentaire propose une nouvelle exploration de cet incroyable chantier et en dévoile des phases inédites."
Les Océans du Système Solaire,Les Océans du Système Solaire,2016,Picture 4982,D,,"Si la Terre est en très grande partie constituée d'eau, la planète bleue n'a pas l'exclusivité des océans. Découverte d'une odyssée épique, des reliefs glacés d'Encelade jusqu'aux océans préhistoriques de Mars et aux lacs de méthane de Titan, le plus grand satellite de Saturne, où la NASA envisage d'envoyer un sous-marin explorer les fonds troubles de ces lacs."
L'Énigme Quantique d'Einstein,L'Énigme Quantique d'Einstein,2018,Picture 4983,D,,"L'enchevêtrement quantique est sur le point de révolutionner la technologie, des réseaux au décodage. Gros plan sur les physiciens alors qu'ils captent la lumière de l'univers dans le but de prouver ""l'action à distance"" d'Einstein."
Narbonne - La Seconde Rome,Narbonne - La Seconde Rome,2021,Picture 4984,D,,"En 2019, une immense nécropole est découverte en périphérie de Narbonne. Fouillant ce site exceptionnel, des archéologues ont pu en apprendre plus sur l’histoire gallo-romaine de la ville, surnommée pendant un temps « la seconde Rome ». A la différence d’Arles et de Nîmes, pourtant de moindre importance, ce rayonnement antique a laissé peu de traces en surface. Pourtant, son organisation urbaine en a conservé la mémoire, comme le montrent les restes de la Via Domitia, la première voie romaine qui traversait la ville, et dont des vestiges ont été retrouvés."
Dames et Princes de la Préhistoire,Dames et Princes de la Préhistoire,2021,Picture 4985,D,,"En 1972, l’archéologue Emile Rivière met au jour un squelette humain très ancien à la frontière entre la France et l’Italie. La réalisatrice de ce documentaire raconte comment cette découverte a permis de changer le regard sur les hommes et les femmes préhistoriques. Surnommée la Dame du Cavillon et coiffée d’une parure en coquillages, la morte a été enterrée dans une tombe richement meublée et décorée d’ornements d’une grande beauté. Ce qui a permis de prouver que les sociétés du Gravettien (entre 34 000 et 24 000 avant notre ère) étaient plus complexes que ce que tout le monde imaginait."
"Billie Holiday, une Affaire d'État",The United States vs. Billie Holiday,2021,Picture 4986,D,D,"Billie Holiday est sans conteste l’une des plus fascinantes icônes du jazz, mais derrière sa voix légendaire, se cache une femme dont le combat acharné pour la justice a fait d’elle la cible du plus puissant des pouvoirs…"
Sapiens - Et la Musique Fut,And There Was Music,2020,Picture 4987,D,,"Avec leurs trous parfaitement situés pour favoriser le placement des doigts, les ossements d’un vautour de Geißenklösterle, dans le Jura allemand, feraient partie des plus vieux instruments du monde fabriqués par Homo Sapiens, il y a entre 35 et 40.000 ans. Découverts dans les années 90, ils ont secoué le monde de l’archéologie, qui s’est alors demandé comment la musique avait été créée et dans quel but ? "
Occupation,Occupation,2018,Picture 4988,D,D,"Des vaisseaux d’origine inconnue se tiennent en position stationnaire au-dessus des mégalopoles. Dans un déluge de feu, les navires de guerre venus de l’espace transforment les cités en champs de ruine et annihilent les derniers bastions des défenses terriennes. Les humains prisonniers sont envoyés dans des camps de travaux forcés. Mais à l’autre bout du monde, en Australie, une poignée de survivants organise un réseau de résistance. La riposte peut commencer. "
Deadheads,Deadheads,2011,Picture 4989,D,D,Deux zombies se réveillent au milieu d’une attaque de morts vivants et décident de prendre la route pour retrouver l’amour perdu de l’un d’eux. 
Vampires 2 - Adieu Vampires,Vampires 2,2002,Picture 4990,D,D,"A Mexico, une princesse vampire est à la recherche d'un légendaire crucifix noir qui permettrait aux suceurs de sang de sortir en plein jour et de devenir ainsi invulnérables. Derek Bliss, un chasseur de vampires, s'associe à un prêtre aux méthodes peu catholiques afin de trouver leur ""nid""..."
Aurora Teagarden 14 - Tel est pris Celui qui Croyait Prendre,Aurora Teagarden Mystery 14 - How to Con A Con,2021,Picture 4991,D,,"Lorsque l'un des clients d'Aida Teagarden est retrouvé assassiné, sa fille Aurora se lance dans l'enquête avec son fiancé, Nick, pour résoudre le meurtre."
The Ice Road,The Ice Road,2021,Picture 4992,D,D,"Une mine de diamants s’effondre dans le Grand Nord canadien et piège près de trente mineurs.
Pour mener une mission de sauvetage périlleuse, Jim Goldenrod engage Mike McCann, un conducteur de camion expérimenté.
Ils vont mener un convoi qui va emprunter la « route de glace », un océan gelé et instable qui couvre les presque 500 km du lac Winnipeg.
Aux intempéries et avaries mécaniques, s’ajoute une série d’attaques mystérieuses, qui prouvent que quelqu’un n’a pas intérêt à ce que ce sauvetage ait lieu… "
Scanner Cop,Scanner Cop,1994,Picture 4993,D,D,"Sam Staziak est un officier de la police de Los Angeles. C'est aussi un ""scanner"", un être doué de pouvoir psychiques meurtriers. Quand des policiers sont tués, Sam utilise son pouvoir pour retrouver le responsable de ces meurtres.."
Scanner Cop 2,Scanner Cop 2,1995,Picture 4994,D,D,"Scanner contre Scanner… de cette lutte sans merci, il n’en restera qu’un !!! Sam Staziak n’est pas un flic comme les autres : c’est un scanner, il capable de lire et de diriger les pensées des gens en scannant les cerveaux. Karl Volkin, lui, est un tueur sadique doté des mêmes pouvoir paranormaux. Son seul but : se venger de Staziak, qui l’a fait interner dans un pénitencier de haute sécurité…"
Les Doigts Croches,Les Doigts Croches,2009,Picture 4995,D,,"Pour perpétrer le ""vol du siècle"", Charles recrute les copains avec qui il a fait les 400 coups. Le soir du vol, la police rapplique et ils doivent rapidement procéder au plan B : ils se feront prendre, mais l'un d'entre eux se sauvera avec 2 millions CAD. À leur sortie, les voleurs sont estomaqués d'apprendre qu'ils recouvreront leur argent à deux conditions : ils doivent marcher 830 kilomètres, imitant les gens qui font le pèlerinage de Saint-Jacques-de-Compostelle, et doivent surtout avoir changé. Ces éternels délinquants devront, pour la première fois de leur vie, déployer de véritables efforts pour devenir d'honnêtes citoyens. "
Un Coin Tranquille 2,A Quiet Place 2,2020,Picture 4996,D,D,"Après les événements mortels survenus dans sa maison, la famille Abbot doit faire face au danger du monde extérieur. Pour survivre, ils doivent se battre en silence. Forcés à s’aventurer en terrain inconnu, ils réalisent que les créatures qui attaquent au moindre son ne sont pas la seule menace qui se dresse sur leur chemin."
Méandre,Meander,2020,Picture 4997,D,,"Une jeune femme se réveille dans un tube rempli de pièges mortels. Pour ne pas mourir, elle devra constamment avancer… "
L'Arriviste,Election,1999,Picture 4998,D,D,"Jim McAllister a bien l'intention de donner une leçon de démocratie à ses étudiants en proposant un candidat de son cru pour l'élection à la présidence du conseil du lycée George-Washington-Carver d'Omaha. En effet, ce candidat, Paul Metzler, qui a pour atout d'être le héros de l'équipe de football du lycée, va devoir affronter Tracy Flick, la fille la plus active de l'établissement, dévoree d'ambition et qui considère ses années de lycée comme la première étape d'une longue et brillante carrière. "
D'où l'on Vient,In the Heights,2021,Picture 4999,D,D,"Au cœur de New York, le quartier de Washington Heights est celui de tous les possibles. Usnavi, propriétaire d’un petit café dans le quartier, rêve de renouer avec ses origines, en République Dominicaine. Mais tout se complique quand il croise le regard de Vanessa, une jeune femme qui rêve de devenir styliste. Leur rencontre, sur fond de danse et de musique, va chambouler leur vie de manière inattendue. "
Come True,Come True,2020,Picture 5000,D,D,"Sarah, une lycéenne qui a rompu avec sa famille, participe à une étude sur le sommeil pour gagner sa vie. Elle va devenir, malgré elle, l’instrument d’une découverte terrifiante. "
Fatima,Fatima,2020,Picture 5001,D,D,"Portugal. 1917, trois jeunes bergers de Fatima racontent avoir vu la Vierge Marie. Leurs révélations vont toucher de nombreux croyants mais également attirer la colère des représentants de l’Eglise et du gouvernement. Ils vont tout faire pour essayer d’étouffer l’affaire et obliger les trois enfants à se rétracter. Mais la rumeur s’est propagée dans tout le pays. Les pèlerins affluent à Fatima en espérant être les témoins d’un miracle. "
The Tomorrow War,The Tomorrow War,2021,Picture 5002,D,D,"Le monde est stupéfait lorsqu’un groupe de voyageurs arrive du futur – précisément de l’année 2051 - pour délivrer un message urgent : dans 30 ans, l’Humanité va perdre une guerre d’envergure mondiale contre une espèce d’aliens meurtrière venue détruire notre civilisation. Le seul moyen de survivre à cette attaque extraterrestre est de faire transporter des soldats et civils du monde d’aujourd’hui trente ans plus tard pour lutter contre cette invasion alien. Parmi les recrues, Dan Forester, père de famille et professeur au lycée, est déterminé à sauver le monde pour l’avenir de sa fille. Dan fait équipe avec une brillante scientifique et son père pour réécrire l’avenir de la planète. "
Fear Street - Partie 1 - 1994,Fear Street - Part 1 - 1994,2021,Picture 5003,D,D,"À la suite d'une tragédie brutale à Shadyside, dans l'Ohio, un groupe d'adolescents rencontre accidentellement le mal ancien responsable d'une série de meurtres brutaux qui sévissent dans leur ville depuis plus de 300 ans. "
Que Personne ne Bouge,No Sudden Move,2021,Picture 5004,D,D,"Detroit, au milieu des années 1950. Des criminels de divers horizons se réunissent et doivent collaborer afin de découvrir pourquoi ils ont été mis à l’écart. "
La Ligne de Feu,The Last Frontier,2020,Picture 5005,D,D,"Après l’invasion de l’Union Soviétique en juin 1941 (Opération Barbossa), les blindés du IIIème Reich sont à 200km de Moscou début octobre et rien ne semble pouvoir les arrêter. Seule solution pour le haut commandement de l’Armée Rouge : envoyer les 3500 élèves-officiers de l’école militaire de Podolsk tenir coûte que coûte la ligne Ilyinsky jusqu’à l’arrivée des renforts. "
Le Terminus de l'Horreur,End of the Line,2007,Picture 5006,D,D,"Karen, une jeune psychiatre, réussit à attraper le dernier métro juste avant l'interruption du trafic. Soudain, la rame s'arrête au milieu d'un tunnel, et le cauchemar commence... Plusieurs passagers reçoivent un mystérieux signal et se mettent à assassiner les autres voyageurs. Qui sont-ils ? Que veulent-ils ? A quelle mystérieuse organisation appartiennent-ils ?
Karen et un petit groupe de survivants s'enfuient à travers les souterrains du métro, poursuivis par les tueurs... "
Hécatombe au Néolithique,Hécatombe au Néolithique,2019,Picture 5007,D,,"En 2013, des archéologues découvrent en Allemagne une fosse commune contenant onze squelettes remontant au néolithique. Les ossements portent tous des traces de coups suggérant une exécution collective."
Loki,Marvel 240 - Loki,2021,Picture 5009,D,D,La nouvelle série Disney+ Original des studios Marvel « Loki » se déroule après les événements relatés dans AVENGERS: ENDGAME. Elle met en scène le dieu de la malice juste après qu’il s'est affranchi de son frère Thor. 
How to Become a Tyrant,How to Become a Tyrant,2021,Picture 5008,D,D,"How To Become A Tyrant est une série historique qui examine comment des gens comme Adolf Hitler, Joseph Staline et d'autres dictateurs notoires du XXe siècle ont accédé au pouvoir. "
Triggered,Triggered,2020,Picture 5010,D,D,"Un groupe de neuf vieux amis se retrouvent après cinq ans autour d’un camping dans une forêt. Ils ont tous des secrets. Leur ancien professeur de sciences attache une bombe à retardement à chacun d’entre eux. Afin de survivre, ils doivent tuer pour gagner du temps. "
L'Antre du Mal,The Devil's Ground,2009,Picture 5011,D,D,"Carrie se rend de la Californie à Bangor dans le but de démarrer une nouvelle vie. Sur une route isolée, elle porte secourt à Amy, une jeune fille ensanglantée et traumatisée, qui vient d'assister au massacre de ses amis dans les bois... "
Major Grom - Le Docteur de Peste,Major Grom - Plague Doctor,2021,Picture 5012,D,D,"Lorsque la folie meurtrière d'un justicier masqué plonge une ville dans le chaos, un policier rebelle et son tout jeune partenaire sont les seuls à pouvoir y mettre fin."
Embattled,Embattled,2020,Picture 5013,D,D,Un lycéen prodige du judo fait son entrée dans une cage du MMA pour affronter son rival ultime dans un combat pour la reconnaissance. Ce dernier n'est autre que son propre père. 
Black Widow,Marvel 150 - Black Widow,2021,Picture 5014,D,D,"Natasha Romanoff, alias Black Widow, voit resurgir la part la plus sombre de son passé pour faire face à une redoutable conspiration liée à sa vie d’autrefois. Poursuivie par une force qui ne reculera devant rien pour l’abattre, Natasha doit renouer avec ses activités d’espionne et avec des liens qui furent brisés, bien avant qu’elle ne rejoigne les Avengers. "
Redemption Day,Redemption Day,2021,Picture 5015,D,D,"Lorsque l'amour de sa vie est enlevée par des terroristes qui demandent une rançon de 10 millions de dollars en échange de sa libération, Brad Paxton, un capitaine de marine décoré, se lance dans une course contre la montre pour la sauver. L'opération de sauvetage s'annonce difficile, surtout lorsque Brad doit affronter de vieux démons de son passé. "
Fear Street - Partie 2 - 1978,Fear Street - Part 2 - 1978,2021,Picture 5016,D,D,"Shadyside, 1978. L'école est finie et les activités du Camp Nightwing sont sur le point de commencer. Mais lorsqu'un autre "" Shadysider "" est possédé par l'envie de tuer, l'amusement se transforme en une lutte effroyable pour la survie... "
Comment je Suis Devenu Super-Héros,How I Became a Superhero,2020,Picture 5017,D,D,"Paris 2020. Dans une société où les surhommes sont banalisés et parfaitement intégrés, une mystérieuse substance procurant des super-pouvoirs à ceux qui n’en ont pas se répand. Face aux incidents qui se multiplient, les lieutenants Moreau et Schaltzmann sont chargés de l’enquête. Avec l’aide de Monté Carlo et Callista, deux anciens justiciers, ils feront tout pour démanteler le trafic. Mais le passé de Moreau ressurgit, et l’enquête se complique... "
Saturne V - Planète Interdite,G-Loc,2020,Picture 5018,D,,"Dans le futur. Bran fuit la Terre, devenue froide et inhabitable. Il espère se rendre sur Rhéa, colonisée par les humains il y a 582 ans. Les Rhéens sont contre les nouveaux arrivants de la Terre. Bran monte à bord d'un vaisseau spatial rhéan. "
Piégés,Decoys,2004,Picture 5019,D,D,"L'existence de Luke et Roger, deux étudiants du campus de St. John au Canada, va être bouleversée par l'arrivée de deux ravissantes créatures. Mais rapidement Luke, va trouver que les jeunes femmes ont un comportement étrange. La mort d'un étudiant retrouvé congelé va accentuer les soupçons du jeune homme quant à la véritable identité de ces nouvelles étudiantes."
"Les Bourreaux de Staline - Katyn, 1940","Les Bourreaux de Staline - Katyn, 1940",2020,Picture 5020,D,,"Le 17 septembre 1939, l'armée rouge envahit la partie orientale de la Pologne sans même déclarer la guerre. Hitler et Staline se partagent aussitôt leur voisin selon leur pacte germano-soviétique. Dans la foulée, le NKVD, la police politique soviétique, organise le regroupement dans les monastères de Kozielsk, Starobielsk et Ostachkov de prisonniers de guerre polonais, principalement des officiers, et des représentants de l'élite intellectuelle."
"Sciences Nazies - La Race, le Sol et le Sang","Sciences Nazies - La Race, le Sol et le Sang",2019,Picture 5021,D,,"Sciences Nazies, la rage, le sol et le sang décrit la fresque inédite d’une démarche scientifique meurtrière : celle de l’Ahnenerbe. Ce département du régime nazi entièrement dédié à la recherche a mené une politique implacable pour tenter de légitimer l’entreprise d’épuration raciale, de germanisation des territoires et de domination idéologique du régime nazi."
Spirale - L'Héritage de Saw,Spiral - From the Book of Saw,2021,Picture 5022,D,D,"Travaillant dans l'ombre de son père, une légende locale de la police, le lieutenant Ezekiel «Zeke» Banks et son nouveau partenaire enquêtent sur une série de meurtres macabres dont le mode opératoire rappelle étrangement celui d’un tueur en série qui sévissait jadis dans la ville. Pris au piège sans le savoir, Zeke se retrouve au centre d’un stratagème terrifiant dont le tueur tire les ficelles. "
Gunpowder Milkshake,Gunpowder Milkshake,2021,Picture 5023,D,D,"Sam n'est encore qu'une petite fille lorsque sa mère Scarlet, tueuse à gages, est contrainte de l’abandonner pour la protéger. Bien des années plus tard, Sam a suivi les traces de sa mère disparue et est elle-même devenue une tueuse à gages hors pair, travaillant pour la Firme. Un soir, lors d’une mission à haut risque, Sam se retrouve face à un dilemme : rester loyale à la Firme, ou sauver la vie d’une petite fille de huit ans. Commence alors une cavale survoltée qui conduira Sam à retrouver sa mère et ses anciennes associées. Mère et fille unies de nouveau, Sam et Scarlet se lanceront alors dans une lutte sans merci contre un ennemi commun redoutable. "
A Classic Horror Story,A Classic Horror Story,2021,Picture 5024,D,D,"Cinq inconnus font du co-voiturage à bord d'un camping-car, mais après un accident, ils se retrouvent dans une forêt peuplée d'êtres étranges dont il est impossible de sortir. "
Fear Street - Partie 3 - 1666,Fear Street - Part 3 - 1666,2021,Picture 5025,D,D,"Renvoyée en l'an 1666, Deena apprend la vérité sur Sarah Fier. De retour en 1994, les amis luttent pour leur vie et le futur de Shadyside. "
Fear of Rain,Fear of Rain,2021,Picture 5026,D,D,"Une personne atteinte de schizophrénie expérimente de terrifiantes hallucinations et suspecte que sa voisine ait enlevé un enfant. La seule personne qui la croit s'appelle Caleb, et elle n'est même pas certaine qu'il existe. "
Kingdom - Ashin of the North,Kingdom - Ashin of the North,2021,Picture 5027,D,D,"Dans cet épisode spécial, drame, trahison et une étrange découverte attisent le désir de vengeance d'une femme marquée par la disparition de sa tribu et de sa famille. "
La Purge 5 - La Purge Éternelle,The Purge 5 - The Forever Purge,2021,Picture 5028,D,D,"Adela et son mari Juan habitent au Texas, où Juan travaille dans le ranch de la très aisée famille Tucker. Juan gagne l’estime du patriarche Caleb Tucker, ce qui déclenche la jalousie de Dylan, son fils. La matinée suivant le déchainement nocturne de violence annuelle, un groupe masqué attaque la famille Tucker, dont la femme de Dylan, et sa sœur, forçant les deux familles à s’unir et organiser une riposte alors que le pays entier sombre dans la spirale du chaos et que les États-Unis se désagrègent petit à petit autour d’eux. "
La Femme de mon Meilleur Ennemi,The Hitman's Wife's Bodyguard,2021,Picture 5029,D,D,"Après tout ce qu’il a vécu de difficile, Michael Bryce, l’ancien garde du corps déchu, avait bien besoin d’une pause. C’est ainsi qu’il se retrouve en séjour thérapeutique sur la côte italienne, avec pour instruction de se tenir éloigné de toute violence et de n’approcher aucune arme..."
Ciel Rouge Sang,Blood Red Sky,2021,Picture 5030,D,D,"Lorsque des terroristes tentent de détourner leur vol, une femme voyageant avec son fils et atteinte d'une maladie mystérieuse est forcée de dévoiler un sombre secret. "
Jolt,Jolt,2021,Picture 5031,D,D,"Lindy est une superbe femme pleine d'humour qui porte un douloureux secret. En raison d'un trouble neurologique rare, elle éprouve des pulsions de rage et de meurtre qui ne peuvent être contrôlées que lorsqu'elle se choque avec un appareil à électrodes. Incapable de trouver l'amour et sa place dans ce monde, elle accorde finalement sa confiance à un homme dont elle tombe éperdument amoureuse avant de le retrouver assassiné. Le coeur complètement brisé et dans une colère noire, elle se donne pour mission de venger le meurtre de cet homme tout en étant poursuivie par la police en tant que principale suspecte du crime. "
L'Amiral,The Admiral - Roaring Currents,2014,Picture 5032,D,,"Durant la bataille de Myong-Yang en 1597, l'amiral Yi Sun-sin gère ses treize navires contre les trois cent navires japonais… "
Zola,Zola,2021,Picture 5033,D,D,"Le voyage sauvage sur deux jours avec une travailleuse du sexe, Jessica, son petit ami, Jarrett, et le proxénète violent de cette dernière. L'excursion est suivie par Aziah ""Zola"" Wells qui tweete les événements que connaissent les individus. "
Dossiers Surnaturels,Dossiers Surnaturels,2015,Picture 5034,D,,"Des phénomènes mystérieux, mais confronter aux points de vue de scientifiques. Parmi les thématiques explorées, il y aura notamment l'hypnose et les expériences de mort imminente."
Enquêtes Extraordinaires,Enquêtes Extraordinaires,2010,Picture 5035,D,,"Chaque film documentaire explore un phénomène inexpliqué (les guérisseurs, le 6e sens, les frontières de la vie, les OVNIs), recueille des témoignages et rencontre des scientifiques qui étudient ces phénomènes de manière approfondie."
Trésors Sous les Mers,Trésors Sous les Mers,2018,Picture 5036,D,,"Grâce à l'usage de nouvelles technologies, partez à la découverte des mystères cachés et des mondes perdus qui se cachent au fond des mers et des océans, afin de remonter aux origines de l'humanité."
Les 7 Églises de l'Apocalypse,Les 7 Églises de l'Apocalypse,2020,Picture 5037,D,,"Au premier siècle de notre ère, en Asie mineure, se livre une puissante révolution idéologique. Ce qui va devenir l'une des plus grandes religions du monde se confronte alors aux cultes païens antiques et à l'ordre établi par la toute-puissante Rome impériale, pour se répandre inexorablement dans tout l'empire romain : le christianisme est en marche. C'est dans ce contexte hostile que va s'imposer Le Livre de l'Apocalypse de Saint Jean. Ce texte, réputé le plus complexe et mystérieux de la Bible, est adressé à Sept Églises, qui se trouvent en actuelle Turquie, et qui reçoivent alors 7 lettres personnelles de la part du Christ ressuscité."
Hitler - La Machine à Propagande,Hitler - La Machine à Propagande,2017,Picture 5038,D,,"Une fois arrivé au pouvoir, Hitler utilise la propagande pour diffuser son idéologie en ayant recours à tous les moyens disponibles à l'époque.
Adolf Hitler prend la décision, une fois qu'il est nommé chancelier, de mettre en place une politique de propagande. Pour asseoir son emprise sur la population allemande, il va utiliser tous les moyens alors à sa disposition. L'objectif est clairement d'embrigader les masses. Avec l'aide de Joseph Goebbels, il va mettre en place des outils visant à leur inculquer l'idéologie nazie. Déjà, dans ""Mein Kampf"", il soulignait l'importance de la propagande. Il instaure le ministère de la Culture et de la Propagande du Reich qu'il confie immédiatement à Goebbels."
The Last Black Man in San Francisco,The Last Black Man in San Francisco,2019,Picture 5039,D,D,"Avec l'aide de son meilleur ami, Jimmie Fails tente de récupérer la maison construite par son grand-père à San Francisco. "
A Call to Spy,A Call to Spy,2019,Picture 5040,D,D,"Quand les nazis envahissent la France, deux femmes soutiennent l'effort de guerre en espionnant pour une agence gérée par Churchill. Basé sur une histoire vraie. "
La Demeure du Mal,The Banishing,2020,Picture 5041,D,D,"Angleterre, dans les années 1930. Un jeune révérend, sa femme et leur petite fille emménagent dans un manoir. Bientôt, un esprit vengeur prend possession de la fillette. Les parents sont contraints afin de sauver leur enfant, de remettre en doute leurs croyances et de se tourner vers la magie noire... "
Le Dernier Mercenaire,The Last Mercenary,2021,Picture 5042,D,D,"Richard Brumère dit « La brume » une véritable légende des services secrets, disparu depuis des années, est de retour en France. L’immunité qu'il avait négociée il y a vingt-cinq ans pour son fils caché, Archibald, est étrangement levée. Pour le sauver d'une opération mafieuse dont il est innocent mais qui pourrait lui coûter la vie, La Brume va devoir réactiver ses contacts un peu vieillissants, faire équipe avec une bande de jeunes plus ou moins téméraires, affronter un bureaucrate zélé, gérer les rapports père-fils nouveau pour lui, mais surtout trouver le courage de révéler à Archibald qu’il est son père."
Rapide et Dangereux 9,Fast and Furious 9,2021,Picture 5043,D,D,"Si Dom Toretto mène une vie tranquille, loin du bitume, auprès de Letty et de leur fils, le petit Brian, ils savent bien tous les deux que derrière les horizons les plus radieux se cachent toujours les dangers les plus sournois. Cette fois, pour sauver ceux à qui il tient le plus, Dom va devoir affronter les démons de son passé. Son équipe se rassemble pour démanteler un complot à échelle mondiale mené par le tueur le plus implacable qu’ils aient jamais affronté, aussi redoutable avec une arme que derrière un volant : Un homme qui n’est autre que le frère désavoué de Dom, Jakob. "
