Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Act,Anim,Aven,Bio,Bonus,Com,Crime,Doc,Drame,Fant,Guer,Hist,Hor,Mus,Myst,Rom,Sc-Fi,Série,Spec,Sport,Thril,West,Note,Nombre de Voteurs,Durée,Producteur,En Vedette,Audio Français,Audio Anglais,Traité,Double,Dernier Épisode Visionné,3D,Année(s) saison,Dernière saison,Produit / Créé par,Adresse Résumé,Nouveau,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Source,Y,Film Étranger,Mini Série,Z,A,B,Catastrophe,Version Originale,C,Bestiole,Tous,Vue,Pas Vue,Adresse Séries,Coup de Coeur,Série En Cours,Série Complété,Espion,Antique,Politique,Procès,Super-Héros,Tueur en Série,Vampire,Zombie,Terroriste,Sorcellerie,Asiatique,Érotique,Nouveauté,D,Scientifique,Archéologie,Mon Vote,Commentaires Jules,Société,Religion,Format,Commentaires Gérald,QTP,E,Nouv Com Jules,Nouv Com Gérald,Extraterrestre,Sélection du Jour
The Killer,The Killer,1989,Picture 23625,Q,,X,,,,,,X,,X,,,,,,,,,,,,X,,7.9,34992,111,John Woo ,"Yun-Fat Chow, Danny Lee, Sally Yeh ",Q:\The Killer (français)\VIDEO_TS\VIDEO_TS.IFO,,O,,,,,,,7632,,,,,,,,,X,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
La Petite Sirène,The Little Mermaid,1989,Picture 23638,Q,Q,,X,,,,,,,,X,,,,X,,X,,,,,,,7.6,132990,83,"Ron Clements, John Musker ","Jodi Benson, Samuel E. Wright, Rene Auberjonois",Q:\La Petite Sirène\La.Petite.Sirène.mkv,Q:\La Petite Sirène\La.Petite.Sirène.mkv,O,,,,,,,7749,,,,,,,,,X,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Enquête,The Mighty Quinn,1989,Picture 3361,B,B,X,,,,,,X,,X,,,,,,X,,,,,,X,,6.0,4549,98,Carl Schenkel ,"Denzel Washington, Robert Townsend, James Fox ",S:\Quinn Enquête\The.Mighty.Quinn.mkv,S:\Quinn Enquête\The.Mighty.Quinn.mkv,O,,,,,,,7886,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opération Crépuscule,The Package,1989,Picture 25256,V,V,X,,,,,,X,,X,,,,,,,,,,,,X,,6.4,6222,108,Andrew Davis ,"Gene Hackman,  Tommy Lee Jones,  Joanna Cassidy",V:\Opération Crépuscule\VIDEO_TS\VIDEO_TS.IFO,V:\Opération Crépuscule\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,8019,,,,,,,,,,,,,,X,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Punisher,The Punisher,1989,Picture 24108,S,S,X,,,,,,X,,X,,,,,,,,,,,,,,5.6,13917,89,Mark Goldblatt ,"Dolph Lundgren, Louis Gossett Jr., Jeroen Krabbé ",S:\Le Punisher\Punisher.mkv,"S:\The Punisher\Punisher, The.mp4",O,double,,,,,,8120,,,,,,,,,,,X,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Le moins bon des Punisher. Technique de combat pas très au point. Typique des films de cette époque,,,,,,,,,,
Les Simpson,The Simpsons,1989,Picture 1553,Z,,,X,,,,X,,,,,,,,,,,,X,,,,,8.8,295982,22,"Matt Groening,  James L. Brooks,  Sam Simon ","Dan Castellaneta,  Nancy Cartwright,  Julie Kavner",,,O,,,,,,C,8293,,,,,,,,,,,,,,,,,Sel,,,,X,,,,,,,X,X,,10315,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutants Non Identifiés,The Terror Within,1989,Picture 2915,B,,,,,,,,,,,,,,X,,,,X,,,,,,4.9,1123,88,Thierry Notz ,"Andrew Stevens, Starr Andreeff, George Kennedy ",P:\Mutants Non Identifiés\M.N.I. MUTANTS.NON.IDENTIFIÉS.mkv,,O,,,,,,,8384,,,,,,,,,,,,,,,,,Sel,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Vengeur Toxique 2,The Toxic Avenger 2,1989,Picture 2805,B,B,X,,,,,X,,,,,,,X,,,,X,,,,,,5.1,5487,102,"Michael Herz, Lloyd Kaufman ","Ron Fazio, John Altamura, Phoebe Legere ",R:\Le Vengeur Toxique 2\VIDEO_TS\VIDEO_TS.IFO,R:\Le Vengeur Toxique 2\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,8423,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Guerre des Roses,The War of the Roses,1989,Picture 25028,U,U,,,,,,X,,,,,,,,,,X,,,,,,,6.8,35760,116,Danny DeVito ,"Michael Douglas, Kathleen Turner, Danny DeVito",U:\La Guerre des Roses\warrose.mkv,U:\The War of the Roses\The.War.of.the.Roses.mp4,O,double,,,,,,8505,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trois Fugitifs,Three Fugitives,1989,Picture 3326,B,B,X,,,,,X,,,,,,,,,,,,,,,,,6.2,10008,96,Francis Veber ,"Nick Nolte, Martin Short, Sarah Rowland Doroff ",S:\Trois Fugitifs\Three.Fugitives.mkv,S:\Trois Fugitifs\Three.Fugitives.mkv,O,,,,,,,8649,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attache-moi,Tie Me Up! Tie Me Down!,1989,Picture 4043,C,C,,,,,,X,X,,X,,,,,,,X,,,,,,,7.0,23990,101,Pedro Almodóvar ,"Victoria Abril, Antonio Banderas, Loles León ",W:\Attache-moi\Attache-moi.mkv,W:\Attache-moi\Attache-moi.mkv,O,,,,,,,8667,,,,,,,,,,,,,,,,,Sel,,X,,,,,,Espagnol,X,,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,Pas à revoir.,,,,,,
Cause Perdue,True Believer,1989,Picture 25772,W,W,,,,,,,X,,X,,,,,,,,,,,,,,6.7,3292,105,Joseph Ruben ,"James Woods,  Robert Downey Jr.,  Margaret Colin  ",W:\Cause Perdue\True Believer.mkv,W:\Cause Perdue\True Believer.mkv,O,,,,,,,8814,,,,,,,,,,,,,,,X,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Turner et Hooch,Turner & Hooch,1989,Picture 24877,U,U,,,,,,X,X,,X,,,,,,,,,,,,X,,6.0,44598,97,Roger Spottiswoode ,"Tom Hanks, Mare Winningham, Craig T. Nelson ",U:\Turner et Hooch\Turner et Hooch.mkv,U:\Turner et Hooch\Turner et Hooch.mkv,O,,,,,,,8850,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncle Buck,Uncle Buck,1989,Picture 24999,U,U,,,,,,X,,,,,,,,,,,,,,,,,6.9,58716,100,John Hughes ,"John Candy, Macaulay Culkin, Jean Louisa Kelly",U:\Oncle Buck\Uncle.Buck.mkv,U:\Oncle Buck\Uncle.Buck.mkv,O,,,,,,,8897,,,,,,,,,,,,,X,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Bonne comédie. Triste que John Candy soit mort aussi jeune (43 ans). ,,,,Très rigolo.,,,X,,,
Warlock,Warlock,1989,Picture 25174,V,V,,,,,,,,,X,X,,,,,,,,,,,X,,6.2,11268,103,Steve Miner ,"Julian Sands, Lori Singer, Richard E. Grant ",V:\Warlock\Warlock.mkv,V:\Warlock\Warlock.mkv,O,,,,,,,9088,,,,,,,,,,,,,,X,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,X,,,,,,,J,Bon scénario. J'aime bien tous ces Warlock. Trucages so so mais c'est normal pour l'époque.,,,,,,,X,,,
Week-end Chez Bernie,Weekend at Bernie's,1989,Picture 25506,W,W,,,,,,X,,,,,,,,,,,,,,,,,6.3,37312,97,Ted Kotcheff ,"Andrew McCarthy,  Jonathan Silverman,  Catherine Mary Stewart  ",W:\Week-end Chez Bernie\Weekend At Bernies.mkv,W:\Week-end Chez Bernie\Weekend At Bernies.mkv,O,,,,,,,9131,,,,,,,,,,,,,,,X,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quand Harry Rencontre Sally,When Harry Met Sally,1989,Picture 24132,S,S,,,,,,X,,,X,,,,,,,X,,,,,,,7.6,133469,96,Rob Reiner ,"Billy Crystal, Meg Ryan, Carrie Fisher ",S:\Quand Harry Rencontre Sally\Quant Harry Rencontre Sally.mkv,S:\Quand Harry Rencontre Sally\Quant Harry Rencontre Sally.mkv,O,,,,,,,9163,,,,,,,,,,,X,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Fleur du Mal,Wild Orchid,1989,Picture 5114,D,D,,,,,,,,,X,,,,,,,X,,,,,,,4.6,11807,105,​Zalman King,"​Mickey Rourke, ​Jacqueline Bisset, ​Carré Otis",N:\La Fleur du Mal\L'Orchidée Sauvage.mkv,N:\La Fleur du Mal\L'Orchidée Sauvage.mkv,N,,,,,,,9531,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,Pas à revoir.,,,,,,
Un Cri dans la Nuit,A Cry in the Dark,1988,Picture 3229,B,B,,,,X,,,,,X,,,,,,,,,,,,,,6.9,8433,120,Fred Schepisi ,"Meryl Streep, Sam Neill, Dale Reeves ",S:\Un Cri dans la Nuit\A.Cry.in.the.Dark.mkv,S:\Un Cri dans la Nuit\A.Cry.in.the.Dark.mkv,O,,,,,,,165,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Un Poisson Nommé Wanda,A Fish Called Wanda,1988,Picture 23746,Q,Q,,,,,,X,X,,,,,,,,,,,,,,,,7.6,99068,108,"Charles Crichton, John Cleese","John Cleese, Jamie Lee Curtis, Kevin Kline",Q:\Un Poisson Nommé Wanda\Un poisson nommé Wanda.mkv,Q:\Un Poisson Nommé Wanda\Un poisson nommé Wanda.mkv,O,,,,,,,177,,,,,,,,,X,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico,Above the Law,1988,Picture 24057,R,R,X,,,,,,X,,X,,,,,,,,,,,,,,5.9,19905,99,Andrew Davis ,"Steven Seagal, Pam Grier, Henry Silva",R:\Nico\Nico.mp4,R:\Nico\Nico.mp4,O,,,,,,,281,,,,,,,,,,X,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Ce film est sans aucun doute un prétexte à des scènes d'action avec Seagal. Pas un grand acteur celui-là. Scénario assez nul mais divestissant malgré tout.,,,,,,,,,,
Action Jackson,Action Jackson,1988,Picture 63,J,J,X,,,,,X,X,,,,,,,,,,,,,,,,5.0,6337,96,Craig R. Baxley,"Carl Weathers, Craig T. Nelson, Vanity",B:\Action Jackson\Action.Jackson.mkv,B:\Action Jackson\Action.Jackson.mkv,O,,,,,,,298,,X,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akira,Akira,1988,Picture 23364,P,P,X,X,,,,,,,,,,,,,,,X,,,,,,8.1,77821,124,Katsuhiro Ohtomo,"Nozomu Sasaki, Mami Koyama, Mitsuo Iwata ",P:\Akira (français)\akira.mkv,P:\Akira\akira.mkv,O,double,,,,,,354,,,,,,,,X,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Futur Immédiat,Alien Nation,1988,Picture 632,N,N,,,,,,,X,,X,,,,,,,,X,,,,,,6.2,9 473,91,Graham Baker,"James Caan, Mandy Patinkin, Terence Stamp",N:\Futur Immédiat\VIDEO_TS\VIDEO_TS.IFO,N:\Futur Immédiat\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,388,,,,,,X,,,,,,,,,,,L1,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"Très original, bien aimé.",,,,,X,
Une Autre Femme,Another Woman,1988,Picture 1168,Y,Y,,,,,,,,,X,,,,,,,,,,,,,,7.4,10106,81,Woody Allen ,"Gena Rowlands,  Mia Farrow,  Ian Holm",Y:\Une Autre Femme\VIDEO_TS\VIDEO_TS.IFO,Y:\Une Autre Femme\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,559,,,,,,,,,,,,,,,,,Sel,X,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panics,Bad Dreams,1988,Picture 1710,Z,,,,,,,,,,,,,,X,,,,,,,,X,,5.6,2610,80,Andrew Fleming ,"Jennifer Rubin,  Bruce Abbott,  Richard Lynch",Z:\Panics\VIDEO_TS\VIDEO_TS.IFO,,O,,,,,,,747,,,,,,,,,,,,,,,,,Sel,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat 21,Bat 21,1988,Picture 25063,U,U,,,,,,,,,X,,X,,,,,,,,,,,,6.4,5930,105,Peter Markle ,"Gene Hackman, Danny Glover, Jerry Reed ",U:\Bat 21\Air.Force.Bat.21.mkv,U:\Bat 21\Air.Force.Bat.21.mkv,O,,,,,,,805,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bételgeuse,Beetlejuice,1988,Picture 181,M,M,,,,,,X,,,,X,,,,,,,,,,,,,7.4,141 069,92,Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton ",M:\Beetlejuice\VIDEO_TS\VIDEO_TS.IFO,M:\Beetlejuice\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,872,,,,,X,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,J,Super bon. Un autre de ces films indémodables avec d'excellent acteurs.,,,,Rigolo et bonne musique.,,,X,,,
La Main Droite du Diable,Betrayed,1988,Picture 2294,A,A,,,,,,,,,X,,,,,,,,,,,,X,,6.3,4745,127,Costa-Gavras ,"Debra Winger,  Tom Berenger,  John Heard",A:\La Main Droite du Diable\Betrayed.mkv,A:\La Main Droite du Diable\Betrayed.mkv,O,,,,,,,913,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petit Bonhomme,Big,1988,Picture 1422,Y,Y,,,,,,X,,,X,X,,,,,,X,,,,,,,7.3,159923,104,Penny Marshall ,"Tom Hanks,  Elizabeth Perkins,  Robert Loggia ",Y:\Petit Bonhomme\Big.mkv,Y:\Petit Bonhomme\Big.mkv,O,,,,,,,938,,,,,,,,,,,,,,,,,Sel,X,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"Rigolo, Tom Hanks est tellement versatile.",,,,,,
Bird,Bird,1988,Picture 24558,W,W,,,,X,,,,,X,,,,,X,,,,,,,,,7.3,8502,161,Clint Eastwood ,"Forest Whitaker, Diane Venora, Michael Zelniker",W:\Bird\Bird.mkv,W:\Bird\Bird.mkv,O,,,,,,,964,,,,,,,,,,,,,,,X,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,"Très bonne biographie. Excellente interprétation de Whitaker. Un film pour les amateurs de jazz avec beaucoup de pièces musicales, ce qui justifie la durée de ce film selon Clint Eastwood.",,,,,,,,,,
L'Arme Absolue,Black Eagle,1988,Picture 26021,X,X,X,,,,,,,,X,,,,,,,,,,,,,,3.7,5078,93,Eric Karson ,"Shô Kosugi,  Jean-Claude Van Damme,  Doran Clark",X:\L'Arme Absolue\L'Arme Absolue.mkv,X:\L'Arme Absolue\L'Arme Absolue.mkv,O,,,,,,,989,,,,,,,,,,,,,,,,X,Sel,,,,,,,,Anglais,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liens Sanglants,Blood Relations,1988,Picture 25715,W,,,,,,,,,,,,,,X,,,,,,,,,,5.1,237,90,Graeme Campbell ,"Jan Rubes,  Lydie Denier,  Kevin Hicks ",W:\Liens Sanglants\VIDEO_TS\VIDEO_TS.IFO,,O,,,,,,,1052,,,,,,,,,,,,,,,X,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodsport,Bloodsport,1988,Picture 23496,P,P,X,,,,,,,,X,,,,,,,,,,,X,,,6.8,46694,92,Newt Arnold ,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres ",P:\Bloodsport\Bloodsport.mkv,P:\Bloodsport\Bloodsport.mkv,O,,,,,,,1062,,,,,,,,X,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,J,Le film qui a fait connaître Van Damme. Très bonnes scènes de combats.,,,,,,,,,,
Elmer le Remue-Méninges,Brain Damage,1988,Picture 507,O,,,,,,,X,,,,,,,X,,,,X,,,,,,6.7,4941,84,Frank Henenlotter,"Rick Hearst, Gordon MacDonald, Jennifer Lowry",O:\Elmer le Remue-Méninges\Brain Damage.avi,,O,,,,,,,1156,,,,,,,X,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Belle et le Vétéran,Bull Durham,1988,Picture 23478,P,P,,,,,,X,,,,,,,,,,X,,,,X,,,7.1,30993,108,Ron Shelton ,"Kevin Costner, Susan Sarandon, Tim Robbins ",P:\La Belle et le Vétéran\Duo a trois.mkv,P:\Bull Durham\Bull.Durham.mkv,O,double,,,,,,1235,,,,,,,,X,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camille Claudel,Camille Claudel,1988,Picture 237,P,,,,,X,,,,,X,,,X,,,,X,,,,,,,7.3,4 120,175,Bruno Nuytten,"Isabelle Adjani, Gérard Depardieu, Madeleine Robinson",P:\Camille Claudel\Camille Claudel.mkv,,O,,,,,,,1285,,,,,,,,X,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeu d'Enfant,Child's Play,1988,Picture 620,J,J,,,,,,,,,,,,,X,,,,,,,,X,,6.5,49 360,87,Tom Holland ,"Catherine Hicks, Chris Sarandon, Alex Vincent ",B:\Jeu d'Enfant\VIDEO_TS\VIDEO_TS.IFO,B:\Jeu d'Enfant\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,1431,,X,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Retour à la Vie,Clean and Sober,1988,Picture 21585,C,C,,,,,,,,,X,,,,,,,,,,,,,,6.7,3731,124,Glenn Gordon Caron,"Michael Keaton, Kathy Baker, Morgan Freeman",W:\Retour à la Vie\Clean.and.Sober.mkv,W:\Retour à la Vie\Clean.and.Sober.mkv,O,,,,,,,1505,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"Très bon, fait réfléchir.",,,,,,
Cocktail,Cocktail,1988,Picture 24678,T,T,,,,,,X,,,X,,,,,,,X,,,,,,,5.8,55417,104,Roger Donaldson,"Tom Cruise, Bryan Brown, Elisabeth Shue",T:\Cocktail\Cocktail.mkv,T:\Cocktail\Cocktail.mkv,O,,,,,,,1546,,,,,,,,,,,,X,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoon 2 - Le Retour,Cocoon 2 - The Return,1988,Picture 311,K,K,,,X,,,,,,,,,,,,X,,X,,,,,,5.2,9 915,116,Daniel Petrie,"Don Ameche, Wilford Brimley, Courteney Cox ",K:\Cocoon 2 - Le Retour\VIDEO_TS\VIDEO_TS.IFO,K:\Cocoon 2 - Le Retour\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,1550,,,X,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,Définitivement pas aussi bon que le premier. Pas à revoir.,,,,,X,
Couleurs,Colors,1988,Picture 24087,R,R,X,,,,,,X,,X,,,,,,,X,,,,,X,,6.7,17196,120,Dennis Hopper ,"Sean Penn, Robert Duvall, Maria Conchita Alonso",R:\Couleurs\Colors.mkv,R:\Couleurs\Colors.mkv,O,,,,,,,1580,,,,,,,,,,X,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"Bon policier, bon acteurs, mais pas un Coup de coeur",,,,,,
Un Prince à New York,Coming to America,1988,Picture 21593,M,M,,,,,,X,,,X,,,,,,,X,,,,,,,6.9,92 343,116,John Landis ,"Eddie Murphy, Arsenio Hall, James Earl Jones",M:\Un Prince à New York\VIDEO_TS\VIDEO_TS.IFO,M:\Un Prince à New York\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,1594,,,,,X,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"Très bon, belle histoire, très rigolo.",,,,,,
Duel de Tueurs,Cop,1988,Picture 25529,W,W,,,,,,,X,,X,,,,,,X,,,,,,X,,6.4,2964,110,James B. Harris ,"James Woods,  Lesley Ann Warren,  Charles Durning",W:\Duel de Tueurs\VIDEO_TS\VIDEO_TS.IFO,W:\Duel de Tueurs\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,1633,,,,,,,,,,,,,,,X,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critters 2,Critters 2 - The Main Course,1988,Picture 368,N,N,,,,,,X,,,,,,,X,,,,X,,,,,,5.2,8 215,86,Mick Garris,"Scott Grimes, Liane Curtis, Terrence Mann",N:\Critters 2\VIDEO_TS\VIDEO_TS.IFO,N:\Critters 2\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,1692,,,,,,X,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Crocodile Dundee 2,Crocodile Dundee 2,1988,Picture 370,M,M,,,X,,,X,,,,,,,,,,,,,,,,,5.4,37 708,108,John Cornell,"Paul Hogan, Linda Kozlowski, John Meillon",M:\Crocodile Dundee 2\VIDEO_TS\VIDEO_TS.IFO,M:\Crocodile Dundee 2\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,1696,,,,,X,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Une coche en dessous du premier, mais quand même très bon.",,,,,,
Les Liaisons Dangereuses,Dangerous Liaisons,1988,Picture 24846,U,U,,,,,,,,,X,,,,,,,X,,,,,,,7.7,50637,119,Stephen Frears ,"Glenn Close, John Malkovich, Michelle Pfeiffer",U:\Les Liaisons Dangereuses\Les Liaisons Dangereuses.mkv,U:\Les Liaisons Dangereuses\Les Liaisons Dangereuses.mkv,O,,,,,,,1767,,,,,,,,,,,,,X,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,J,Gagnant de 3 oscars.,,,,,,,,,,
Flic ou Zombie,Dead Heat,1988,Picture 587,O,O,X,,,,,X,,,,X,,,X,,,,,,,,,,5.9,3 921,86,Mark Goldblatt ,"Treat Williams, Joe Piscopo, Lindsay Frost",O:\Flic ou Zombie\VIDEO_TS\VIDEO_TS.IFO,O:\Flic ou Zombie\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,1846,,,,,,,X,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Alter Ego,Dead Ringers,1988,Picture 24631,V,T,,,,,,,,,X,,,,,,,,,,,,X,,7.3,26947,116,David Cronenberg ,"Jeremy Irons, Geneviève Bujold, Heidi von Palleske ",V:\Alter Ego\VIDEO_TS\VIDEO_TS.IFO,T:\Dead Ringers\dead.ringers.mkv,O,double,,,,,,1856,,,,,,,,,,,,X,,X,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Hard 1 - Piège de Cristal,Die Hard,1988,Picture 449,L,L,X,,,,,,X,,,,,,,,,,,,,,X,,8.3,442 837,131,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",L:\McClane 1 - Piège de Cristal\VIDEO_TS\VIDEO_TS.IFO,L:\McClane 1 - Piège de Cristal\VIDEO_TS\VIDEO_TS.IFO,O,,,,,,,2001,,,,X,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,J,Le premier d'une série de films que j'adore. Bruce Willis à son meilleur.,,,,Toute la série des Die Hard est très bonne.,,,,,,
L'Inspecteur Harry 5 - Les Enjeux de la Mort,Dirty Harry 5 - The Dead Pool,1988,Picture 21641,O,O,,,,,,,X,,X,,,,,,,,,,,,,,6.3,24931,91,Buddy Van Horn,"Clint Eastwood, Liam Neeson, Patricia Clarkson",O:\L'Inspecteur Harry 5 - Les Enjeux de la Mort\L'Inspecteur.Harry.est.la.Dernière.Cible.mkv,O:\L'Inspecteur Harry 5 - Les Enjeux de la Mort\L'Inspecteur.Harry.est.la.Dernière.Cible.mkv,O,,,,,,,2021,,,,,,,X,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pas des grands films, mais de bons films d'action avec une légende du cinéma : ""Go ahead, make my day"".",,,,,,
Le Plus Escroc des Deux,Dirty Rotten Scoundrels,1988,Picture 24180,S,S,,,,,,X,X,,,,,,,,,,,,,,,,7.3,46065,110,Frank Oz,"Steve Martin, Michael Caine, Glenne Headly ",S:\Le Plus Escroc des Deux\Le plus escroc des deux.mkv,S:\Le Plus Escroc des Deux\Le plus escroc des deux.mkv,O,,,,,,,2022,,,,,,,,,,,X,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragons Forever,Dragons Forever,1988,Picture 25915,X,X,X,,,,,X,,,,,,,,,,X,,,,,,,7.4,5153,93,"Sammo Kam-Bo Hung,  Corey Yuen ","Jackie Chan,  Sammo Kam-Bo Hung,  Biao Yuen",X:\Dragons Forever\Dragons Forever.mkv,X:\Dragons Forever\Dragons Forever.mkv,O,,,,,,,2150,,,,,,,,,,,,,,,,X,Sel,,,,,,,,Chinois,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
